title,genres
Star Trek Beyond,"Action,Adventure,Science Fiction"
WALL·E,"Animation,Family"
Rush Hour 3,"Action,Comedy,Crime,Thriller"
2012,"Action,Adventure,Science Fiction"
A Christmas Carol,"Animation,Drama"
Jupiter Ascending,"Science Fiction,Fantasy,Action,Adventure"
The Legend of Tarzan,"Action,Adventure"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Adventure,Family,Fantasy"
X-Men: Apocalypse,"S,c,i,e,n,c,e, ,F,i,c,t,i,o,n"
The Dark Knight,"Drama,Action,Crime,Thriller"
Up,"Animation,Comedy,Family,Adventure"
Monsters vs Aliens,"Animation,Family,Adventure,Science Fiction"
Iron Man,"Action,Science Fiction,Adventure"
Hugo,"Adventure,Drama,Family"
Wild Wild West,"Action,Adventure,Comedy,Science Fiction,Western"
The Mummy: Tomb of the Dragon Emperor,"Adventure,Action,Fantasy"
Suicide Squad,"Action,Adventure,Crime,Fantasy,Science Fiction"
Evan Almighty,"Fantasy,Comedy,Family"
Edge of Tomorrow,"Action,Science Fiction"
Waterworld,"Adventure,Action"
G.I. Joe: The Rise of Cobra,"Adventure,Action,Thriller,Science Fiction"
Inside Out,"Drama,Comedy,Animation,Family"
The Jungle Book,"Family,Adventure,Drama,Fantasy"
Iron Man 2,"Adventure,Action,Science Fiction"
Snow White and the Huntsman,"Adventure,Fantasy,Drama"
Maleficent,"Fantasy,Adventure,Action,Family,Romance"
Dawn of the Planet of the Apes,"Science Fiction,Action,Drama,Thriller"
The Lovers,"Action,Adventure,Science Fiction,Romance"
47 Ronin,"Drama,Action,Adventure,Fantasy"
Captain America: The Winter Soldier,"Action,Adventure,Science Fiction"
Shrek Forever After,"Comedy,Adventure,Fantasy,Animation,Family"
Tomorrowland,"Adventure,Family,Mystery,Science Fiction"
Big Hero 6,"Adventure,Family,Animation,Action,Comedy"
Wreck-It Ralph,"Family,Animation,Comedy,Adventure"
The Polar Express,"Adventure,Animation,Family,Fantasy"
Independence Day: Resurgence,"Action,Adventure,Science Fiction"
How to Train Your Dragon,"Fantasy,Adventure,Animation,Family"
Terminator 3: Rise of the Machines,"Action,Thriller,Science Fiction"
Guardians of the Galaxy,"Action,Science Fiction,Adventure"
Interstellar,"Adventure,Drama,Science Fiction"
Inception,"Action,Thriller,Science Fiction,Mystery,Adventure"
Shin Godzilla,"Action,Adventure,Drama,Horror,Science Fiction"
The Hobbit: An Unexpected Journey,"Adventure,Fantasy,Action"
The Fast and the Furious,"Action,Crime,Thriller"
The Curious Case of Benjamin Button,"Fantasy,Drama,Thriller,Mystery,Romance"
X-Men: First Class,"Action,Science Fiction,Adventure"
The Hunger Games: Mockingjay - Part 2,"Action,Adventure,Science Fiction"
The Sorcerer's Apprentice,"Fantasy,Adventure,Action,Comedy,Drama"
Poseidon,"Adventure,Action,Drama,Thriller"
Alice Through the Looking Glass,"F,a,n,t,a,s,y"
Shrek the Third,"Fantasy,Adventure,Animation,Comedy,Family"
Warcraft,"Action,Adventure,Fantasy"
Terminator Genisys,"Science Fiction,Action,Thriller,Adventure"
The Chronicles of Narnia: The Voyage of the Dawn Treader,"Adventure,Family,Fantasy"
Pearl Harbor,"History,Romance,War"
Transformers,"Adventure,Science Fiction,Action"
Alexander,"War,History,Action,Adventure,Drama,Romance"
Harry Potter and the Order of the Phoenix,"Adventure,Fantasy,Family,Mystery"
Harry Potter and the Goblet of Fire,"Adventure,Fantasy,Family"
Hancock,"Fantasy,Action"
I Am Legend,"Drama,Horror,Action,Thriller,Science Fiction"
Charlie and the Chocolate Factory,"Adventure,Comedy,Family,Fantasy"
Ratatouille,"Animation,Comedy,Family,Fantasy"
Batman Begins,"Action,Crime,Drama"
Madagascar: Escape 2 Africa,"Family,Animation"
Night at the Museum: Battle of the Smithsonian,"Adventure,Fantasy,Action,Comedy,Family"
X-Men Origins: Wolverine,"Adventure,Action,Thriller,Science Fiction"
The Matrix Revolutions,"Adventure,Action,Thriller,Science Fiction"
Frozen,"Animation,Adventure,Family"
The Matrix Reloaded,"Adventure,Action,Thriller,Science Fiction"
Thor: The Dark World,"Action,Adventure,Fantasy"
Mad Max: Fury Road,"Action,Adventure,Science Fiction,Thriller"
Angels & Demons,"Thriller,Mystery"
Thor,"Adventure,Fantasy,Action"
Bolt,"Animation,Family,Adventure,Comedy"
G-Force,"Fantasy,Action,Adventure,Family,Comedy"
Wrath of the Titans,"A,d,v,e,n,t,u,r,e"
Dark Shadows,"Comedy,Fantasy"
Mission: Impossible - Rogue Nation,"Action,Adventure,Thriller"
The Wolfman,"Drama,Horror,Thriller"
Bee Movie,"Family,Animation,Adventure,Comedy"
Kung Fu Panda 2,"Animation,Family"
The Last Airbender,"Action,Adventure,Family,Fantasy"
Mission: Impossible III,"Adventure,Action,Thriller"
White House Down,"Action,Drama,Thriller"
Mars Needs Moms,"Adventure,Animation,Family"
Flushed Away,"Adventure,Animation,Comedy,Family"
Pan,"Adventure,Family,Fantasy"
Mr. Peabody & Sherman,"Animation,Adventure,Family"
Troy,"Adventure,Drama,War"
Madagascar 3: Europe's Most Wanted,"Animation,Family"
Die Another Day,"Adventure,Action,Thriller"
Ghostbusters,"Action,Fantasy,Comedy"
Armageddon,"Action,Thriller,Science Fiction,Adventure"
Men in Black II,"Action,Adventure,Comedy,Science Fiction"
Beowulf,"Adventure,Action,Animation"
Kung Fu Panda 3,"Action,Adventure,Animation,Comedy,Family"
Mission: Impossible - Ghost Protocol,"Action,Thriller,Adventure"
Rise of the Guardians,"Fantasy,Animation,Family"
Fun with Dick and Jane,"C,o,m,e,d,y"
The Last Samurai,"Drama,Action,War,History"
Exodus: Gods and Kings,"Adventure,Drama,Action"
Star Trek,"Science Fiction,Action,Adventure"
Spider-Man,"Fantasy,Action"
How to Train Your Dragon 2,"Fantasy,Action,Adventure,Animation,Comedy,Family"
Gods of Egypt,"F,a,n,t,a,s,y"
Stealth,"A,c,t,i,o,n"
Watchmen,"Action,Mystery,Science Fiction"
Lethal Weapon 4,"Action,Adventure,Comedy,Crime,Thriller"
Hulk,"Drama,Action,Science Fiction"
G.I. Joe: Retaliation,"Adventure,Action,Science Fiction,Thriller"
Sahara,"Action,Adventure,Comedy,Drama,Mystery"
Final Fantasy: The Spirits Within,"Adventure,Action,Animation,Fantasy,Science Fiction,Thriller"
Captain America: The First Avenger,"Action,Adventure,Science Fiction"
The World Is Not Enough,"Adventure,Action,Thriller"
Master and Commander: The Far Side of the World,"A,d,v,e,n,t,u,r,e"
The Twilight Saga: Breaking Dawn - Part 2,"Adventure,Fantasy,Drama,Romance"
Happy Feet Two,"Animation,Comedy,Family"
The Incredible Hulk,"Science Fiction,Action,Adventure"
The BFG,"Adventure,Family,Fantasy"
The Revenant,"Western,Drama,Adventure,Thriller"
Turbo,"Animation,Family"
Rango,"Animation,Comedy,Family,Western,Adventure"
Penguins of Madagascar,"Family,Animation,Adventure,Comedy"
The Bourne Ultimatum,"Action,Drama,Mystery,Thriller"
Kung Fu Panda,"Adventure,Animation,Family,Comedy"
Ant-Man,"Science Fiction,Action,Adventure"
The Hunger Games: Catching Fire,"Adventure,Action,Science Fiction"
Home,"Fantasy,Comedy,Animation,Science Fiction,Family"
War of the Worlds,"Adventure,Thriller,Science Fiction"
Bad Boys II,"Adventure,Action,Comedy,Thriller,Crime"
Puss in Boots,"Action,Adventure,Animation,Family,Fantasy"
Salt,"Action,Mystery,Thriller"
Noah,"Drama,Adventure"
The Adventures of Tintin,"Adventure,Animation,Mystery"
Harry Potter and the Prisoner of Azkaban,"Adventure,Fantasy,Family"
Australia,"D,r,a,m,a"
After Earth,"Science Fiction,Action,Adventure"
Dinosaur,"Animation,Family"
Night at the Museum: Secret of the Tomb,"Adventure,Comedy,Fantasy,Family"
Megamind,"Animation,Action,Comedy,Family,Science Fiction"
Harry Potter and the Philosopher's Stone,"Adventure,Fantasy,Family"
R.I.P.D.,"Fantasy,Action,Comedy,Crime"
Pirates of the Caribbean: The Curse of the Black Pearl,"Adventure,Fantasy,Action"
The Hunger Games: Mockingjay - Part 1,"Science Fiction,Adventure,Thriller"
The Da Vinci Code,"Thriller,Mystery"
Rio 2,"Animation,Adventure,Comedy,Family"
X2,"Adventure,Action,Science Fiction,Thriller"
Fast Five,"Action,Thriller,Crime"
Sherlock Holmes: A Game of Shadows,"Adventure,Action,Crime,Mystery"
Clash of the Titans,"Adventure,Fantasy,Action"
Total Recall,"Action,Adventure,Science Fiction"
The 13th Warrior,"Adventure,Fantasy,Action"
The Bourne Legacy,"Action,Thriller"
Batman & Robin,"Action,Crime,Fantasy"
How the Grinch Stole Christmas,"Family,Comedy,Fantasy"
The Day After Tomorrow,"Action,Adventure,Science Fiction,Thriller"
Mission: Impossible II,"Adventure,Action,Thriller"
The Perfect Storm,"D,r,a,m,a"
Fantastic 4: Rise of the Silver Surfer,"Adventure,Fantasy,Action,Thriller"
Life of Pi,"Adventure,Drama,Action"
Ghost Rider,"Thriller,Action,Fantasy,Horror"
Jason Bourne,"Action,Thriller"
Charlie's Angels: Full Throttle,"Action,Adventure,Comedy"
Prometheus,"Science Fiction,Adventure,Mystery"
Stuart Little 2,"Family,Adventure,Animation,Comedy"
Elysium,"Science Fiction,Action,Drama,Thriller"
The Chronicles of Riddick,"Action,Science Fiction"
RoboCop,"Action,Science Fiction"
Speed Racer,"Action,Family,Science Fiction"
How Do You Know,"Comedy,Drama,Romance"
Knight and Day,"Action,Comedy"
Oblivion,"Action,Science Fiction,Adventure,Mystery"
Star Wars: Episode III - Revenge of the Sith,"Science Fiction,Adventure,Action"
Star Wars: Episode II - Attack of the Clones,"Adventure,Action,Science Fiction"
"Monsters, Inc.","Animation,Comedy,Family"
The Wolverine,"Action,Science Fiction,Adventure,Fantasy"
Star Wars: Episode I - The Phantom Menace,"Adventure,Action,Science Fiction"
The Croods,"Adventure,Animation,Comedy,Family,Fantasy"
Asterix at the Olympic Games,"Fantasy,Adventure,Comedy,Family"
Windtalkers,"Drama,Action,History,War"
The Huntsman: Winter's War,"Action,Adventure,Drama"
Teenage Mutant Ninja Turtles,"Science Fiction,Action,Adventure,Fantasy,Comedy"
Gravity,"Science Fiction,Thriller,Drama"
Dante's Peak,"Action,Adventure,Thriller"
Teenage Mutant Ninja Turtles: Out of the Shadows,"Fantasy,Action,Adventure,Comedy"
Fantastic Four,"Action,Adventure,Science Fiction"
Night at the Museum,"Action,Adventure,Comedy,Family,Fantasy"
San Andreas,"Action,Drama,Thriller"
Tomorrow Never Dies,"Adventure,Action,Thriller"
The Patriot,"Drama,History,War,Action"
Ocean's Twelve,"Thriller,Crime"
Mr. & Mrs. Smith,"Action,Comedy,Drama,Thriller"
Insurgent,"Adventure,Science Fiction,Thriller"
The Aviator,"D,r,a,m,a"
Gulliver's Travels,"C,o,m,e,d,y"
The Green Hornet,"Action,Crime,Comedy"
300: Rise of an Empire,"Action,War"
The Smurfs,"Animation,Family,Adventure,Comedy,Fantasy"
Home on the Range,"Animation,Family"
Allegiant,"Adventure,Science Fiction"
Real Steel,"Action,Science Fiction,Drama"
The Smurfs 2,"Fantasy,Family,Comedy,Animation"
Speed 2: Cruise Control,"Action,Adventure,Thriller"
Ender's Game,"Science Fiction,Action,Adventure"
Live Free or Die Hard,"Action,Thriller"
The Lord of the Rings: The Fellowship of the Ring,"Adventure,Fantasy,Action"
Around the World in 80 Days,"Action,Adventure,Comedy"
Ali,"D,r,a,m,a"
The Cat in the Hat,"Comedy,Fantasy,Family"
"I, Robot","Action,Science Fiction"
Kingdom of Heaven,"Drama,Action,Adventure,History,War"
Stuart Little,"Animation,Fantasy,Family,Comedy"
The Princess and the Frog,"Romance,Family,Animation,Music"
The Martian,"Drama,Adventure,Science Fiction"
The Island,"Action,Thriller,Science Fiction,Adventure"
Town & Country,"Comedy,Romance"
Gone in Sixty Seconds,"Action,Crime,Thriller"
Gladiator,"Action,Drama,Adventure"
Minority Report,"Action,Thriller,Science Fiction,Mystery"
Harry Potter and the Chamber of Secrets,"Adventure,Fantasy,Family"
Casino Royale,"Adventure,Action,Thriller"
Planet of the Apes,"Thriller,Science Fiction,Action,Adventure"
Terminator 2: Judgment Day,"Action,Thriller,Science Fiction"
Public Enemies,"History,Crime,Drama"
American Gangster,"Drama,Crime"
True Lies,"Action,Thriller"
The Taking of Pelham 1 2 3,"Thriller,Drama,Crime"
Little Fockers,"Comedy,Romance"
The Other Guys,"Action,Comedy,Crime"
Eraser,"Action,Drama,Mystery,Thriller"
Django Unchained,"Drama,Western"
The Hunchback of Notre Dame,"Drama,Animation,Family"
The Emperor's New Groove,"Adventure,Animation,Comedy,Family,Fantasy"
The Expendables 2,"Action,Adventure,Thriller"
National Treasure,"Adventure,Action,Thriller,Mystery"
Eragon,"Fantasy,Action,Adventure,Family"
Where the Wild Things Are,"Family,Fantasy"
Epic,"Animation,Adventure,Family,Fantasy"
The Tourist,"Action,Thriller,Romance"
End of Days,"Action,Fantasy,Horror,Mystery"
Blood Diamond,"Drama,Thriller,Action"
The Wolf of Wall Street,"Crime,Drama,Comedy"
Batman Forever,"Action,Crime,Fantasy"
Starship Troopers,"Adventure,Action,Thriller,Science Fiction"
Cloud Atlas,"Drama,Science Fiction"
Legend of the Guardians: The Owls of Ga'Hoole,"Animation,Adventure,Family,Fantasy"
Catwoman,"Action,Crime"
Hercules,"Action,Adventure"
Treasure Planet,"Adventure,Animation,Family,Fantasy,Science Fiction"
Land of the Lost,"Adventure,Comedy,Science Fiction"
The Expendables 3,"Action,Adventure,Thriller"
Point Break,"Action,Crime,Thriller"
Son of the Mask,"Fantasy,Comedy,Family,Adventure"
In the Heart of the Sea,"Thriller,Drama,Adventure,Action,History"
The Adventures of Pluto Nash,"Action,Comedy,Science Fiction"
Green Zone,"War,Action,Adventure,Drama,Thriller"
The Peanuts Movie,"A,n,i,m,a,t,i,o,n"
The Spanish Prisoner,"Crime,Drama,Mystery,Thriller"
The Mummy Returns,"Adventure,Action,Fantasy"
Gangs of New York,"Drama,History,Crime"
The Flowers of War,"Drama,History,War"
Surf's Up,"Animation,Comedy,Family"
The Stepford Wives,"Action,Comedy,Science Fiction"
Black Hawk Down,"Action,History,War"
The Campaign,"C,o,m,e,d,y"
The Fifth Element,"Adventure,Fantasy,Action,Thriller,Science Fiction"
Sex and the City 2,"Comedy,Drama,Romance"
The Road to El Dorado,"Adventure,Animation,Comedy,Family"
Ice Age: Continental Drift,"Animation,Comedy,Adventure,Family"
Cinderella,"Romance,Fantasy,Family,Drama"
The Lovely Bones,"Fantasy,Drama"
Finding Nemo,"Animation,Family"
The Lord of the Rings: The Return of the King,"Adventure,Fantasy,Action"
The Lord of the Rings: The Two Towers,"Adventure,Fantasy,Action"
Seventh Son,"Adventure,Fantasy"
Lara Croft: Tomb Raider,"Adventure,Fantasy,Action,Thriller"
Transcendence,"Thriller,Science Fiction,Drama,Mystery"
Jurassic Park III,"Adventure,Action,Thriller,Science Fiction"
Rise of the Planet of the Apes,"Thriller,Action,Drama,Science Fiction"
The Spiderwick Chronicles,"Adventure,Family,Fantasy"
A Good Day to Die Hard,"Action,Thriller"
The Alamo,"Western,History,War"
The Incredibles,"Action,Adventure,Animation,Family"
Cutthroat Island,"Action,Adventure"
Percy Jackson & the Olympians: The Lightning Thief,"Adventure,Fantasy,Family"
Men in Black,"Action,Adventure,Comedy,Science Fiction"
Toy Story 2,"Animation,Comedy,Family"
Unstoppable,"Action,Thriller"
Rush Hour 2,"Action,Comedy,Crime,Thriller"
What Lies Beneath,"Drama,Horror,Mystery,Thriller"
Cloudy with a Chance of Meatballs,"Animation,Comedy,Family"
Ice Age: Dawn of the Dinosaurs,"Animation,Comedy,Family,Adventure"
The Secret Life of Walter Mitty,"Adventure,Comedy,Drama,Fantasy"
Charlie's Angels,"Action,Adventure,Comedy,Crime,Thriller"
The Departed,"Drama,Thriller,Crime"
Mulan,"Animation,Family,Adventure"
Tropic Thunder,"Action,Comedy"
The Girl with the Dragon Tattoo,"Thriller,Crime,Mystery,Drama"
Die Hard: With a Vengeance,"Action,Thriller"
Sherlock Holmes,"Action,Adventure,Crime,Mystery"
Ben-Hur,"D,r,a,m,a"
Atlantis: The Lost Empire,"Animation,Family,Adventure,Science Fiction"
Alvin and the Chipmunks: The Road Chip,"Adventure,Animation,Comedy,Family"
Valkyrie,"Drama,Thriller,History,War"
You Don't Mess with the Zohan,"Comedy,Action"
Pixels,"Action,Comedy,Science Fiction"
A.I. Artificial Intelligence,"Drama,Science Fiction,Adventure"
The Haunted Mansion,"Thriller,Fantasy,Comedy,Family,Mystery"
Contact,"Drama,Science Fiction,Mystery"
Hollow Man,"Action,Science Fiction,Thriller"
The Interpreter,"Crime,Thriller"
Percy Jackson: Sea of Monsters,"Adventure,Family,Fantasy"
Lara Croft Tomb Raider: The Cradle of Life,"Action,Adventure,Fantasy,Thriller"
Now You See Me 2,"Action,Adventure,Comedy,Crime,Mystery,Thriller"
The Saint,"Thriller,Action,Romance,Science Fiction,Adventure"
Spy Game,"Action,Crime,Thriller"
Mission to Mars,"S,c,i,e,n,c,e, ,F,i,c,t,i,o,n"
Rio,"Animation,Adventure,Comedy,Family"
Bicentennial Man,"Comedy,Science Fiction"
Volcano,"Science Fiction,Action,Drama,Thriller"
The Devil's Own,"Crime,Thriller,Drama"
K-19: The Widowmaker,"Drama,History,Thriller"
Conan the Barbarian,"Adventure,Fantasy,Action"
Cinderella Man,"Romance,Drama,History"
The Nutcracker: The Untold Story,"Fantasy,Action,Family"
Seabiscuit,"Drama,History"
Twister,"Action,Adventure,Drama"
Cast Away,"Adventure,Drama"
Happy Feet,"Animation,Comedy"
The Bourne Supremacy,"Action,Drama,Thriller"
Air Force One,"Action,Thriller"
Ocean's Eleven,"Thriller,Crime"
The Three Musketeers,"Adventure,Action,Thriller"
Hotel Transylvania,"Animation,Comedy,Family,Fantasy"
Enchanted,"Comedy,Family,Fantasy,Romance"
Safe House,"Action,Thriller"
102 Dalmatians,"Comedy,Family"
Tower Heist,"Action,Comedy"
The Holiday,"Comedy,Romance"
Enemy of the State,"Action,Drama,Thriller"
It's Complicated,"Comedy,Romance"
Ocean's Thirteen,"Crime,Thriller"
Open Season,"Adventure,Animation,Family"
Divergent,"Adventure,Action,Science Fiction"
Enemy at the Gates,"W,a,r"
The Rundown,"Adventure,Action,Comedy,Thriller"
Last Action Hero,"Adventure,Fantasy,Action,Comedy,Family"
Memoirs of a Geisha,"Drama,History,Romance"
The Fast and the Furious: Tokyo Drift,"Action,Crime,Drama,Thriller"
Arthur Christmas,"Drama,Animation,Family,Comedy"
Meet Joe Black,"Fantasy,Drama,Mystery"
Collateral Damage,"Action,Thriller,Drama"
All That Jazz,"Drama,Music"
Mirror Mirror,"Adventure,Fantasy,Drama,Comedy,Science Fiction,Family"
Scott Pilgrim vs. the World,"Action,Adventure,Comedy"
The Core,"Action,Thriller,Adventure,Science Fiction"
Nutty Professor II: The Klumps,"Fantasy,Comedy,Romance,Science Fiction"
Scooby-Doo,"Mystery,Adventure,Comedy"
Dredd,"Action,Science Fiction"
Click,"Comedy,Drama,Fantasy,Romance"
Creepshow,"Horror,Comedy,Fantasy"
Cats & Dogs 2 : The Revenge of Kitty Galore,"Comedy,Family"
Jumper,"Adventure,Fantasy,Science Fiction"
Hellboy II: The Golden Army,"Adventure,Fantasy,Science Fiction"
Zodiac,"Crime,Drama,Mystery,Thriller"
The 6th Day,"S,c,i,e,n,c,e, ,F,i,c,t,i,o,n"
Bruce Almighty,"Fantasy,Comedy"
The Expendables,"Thriller,Adventure,Action"
Mission: Impossible,"Adventure,Action,Thriller"
The Hunger Games,"Science Fiction,Adventure,Fantasy"
The Hangover Part II,"C,o,m,e,d,y"
Batman Returns,"Action,Fantasy"
Over the Hedge,"Comedy,Animation,Family"
Lilo & Stitch,"Animation,Family"
Charlotte's Web,"Comedy,Family,Fantasy"
Deep Impact,"Action,Drama,Romance"
RED 2,"Action,Comedy,Crime,Thriller"
The Longest Yard,"Comedy,Drama"
Alvin and the Chipmunks: Chipwrecked,"Comedy,Fantasy,Family,Music,Animation"
Grown Ups 2,"C,o,m,e,d,y"
Get Smart,"Action,Comedy,Thriller"
Something's Gotta Give,"Drama,Comedy,Romance"
Shutter Island,"Drama,Thriller,Mystery"
Four Christmases,"Comedy,Romance,Drama"
Robots,"Animation,Comedy,Family,Science Fiction"
Face/Off,"Action,Crime,Science Fiction,Thriller"
Bedtime Stories,"Fantasy,Comedy,Family,Romance"
Road to Perdition,"Thriller,Crime,Drama"
Just Go with It,"Romance,Comedy"
Con Air,"Action,Thriller,Crime"
Eagle Eye,"Mystery,Thriller,Action"
Cold Mountain,"D,r,a,m,a"
The Book of Eli,"Action,Thriller,Science Fiction"
Flubber,"Comedy,Family,Science Fiction"
The Haunting,"Horror,Thriller,Fantasy,Mystery"
Space Jam,"Animation,Comedy,Drama,Family,Fantasy"
The Pink Panther,"Action,Comedy,Crime,Mystery,Family"
The Day the Earth Stood Still,"Drama,Science Fiction,Thriller"
Conspiracy Theory,"Action,Drama,Mystery,Thriller"
Fury,"War,Drama,Action"
Six Days Seven Nights,"Action,Adventure,Comedy,Romance"
Yogi Bear,"Comedy,Family,Animation,Adventure"
Spirit: Stallion of the Cimarron,"Western,Animation,Adventure,Comedy,Family"
Zookeeper,"Comedy,Romance,Family"
Lost in Space,"Adventure,Family,Science Fiction"
The Manchurian Candidate,"Drama,Thriller,Mystery"
Déjà Vu,"Romance,Drama"
Hotel Transylvania 2,"Animation,Comedy,Family"
Fantasia 2000,"Animation,Family,Music"
The Time Machine,"Science Fiction,Adventure,Action"
Mighty Joe Young,"Action,Adventure,Family,Fantasy"
Swordfish,"Action,Crime,Thriller"
The Legend of Zorro,"Action,Adventure"
What Dreams May Come,"Drama,Fantasy,Romance"
Little Nicky,"Comedy,Fantasy,Romance"
The Brothers Grimm,"Adventure,Fantasy,Action,Comedy,Thriller"
Mars Attacks!,"Comedy,Fantasy,Science Fiction"
Evolution,"Mystery,Drama,Horror"
The Edge,"Action,Adventure,Drama"
Surrogates,"Action,Science Fiction,Thriller"
Thirteen Days,"Drama,Thriller"
Daylight,"Action,Adventure,Thriller"
Walking With Dinosaurs,"Animation,Family,Adventure"
Battlefield Earth,"Action,Science Fiction,War"
Looney Tunes: Back in Action,"Animation,Comedy,Family"
Nine,"Drama,Music,Romance"
Timeline,"Action,Adventure,Science Fiction"
The Postman,"Drama,Adventure"
Babe: Pig in the City,"Adventure,Comedy,Drama,Family,Fantasy"
The Last Witch Hunter,"Fantasy,Action,Adventure"
Red Planet,"Thriller,Action,Science Fiction"
Arthur and the Invisibles,"Adventure,Fantasy,Animation,Family"
Oceans,"Documentary,Family"
A Sound of Thunder,"Thriller,Science Fiction,Adventure,Action"
Pompeii,"Action,Adventure,History,Romance,Drama"
Top Cat Begins,"Comedy,Animation"
A Beautiful Mind,"Drama,Romance"
The Lion King,"Family,Animation,Drama"
Journey 2: The Mysterious Island,"Adventure,Action,Science Fiction"
Cloudy with a Chance of Meatballs 2,"Animation,Family,Comedy"
Red Dragon,"Crime,Thriller,Horror"
Hidalgo,"Western,Adventure"
Jack and Jill,"C,o,m,e,d,y"
2 Fast 2 Furious,"Action,Crime,Thriller"
The Little Prince,"Adventure,Animation,Fantasy"
The Invasion,"Science Fiction,Thriller"
The Adventures of Rocky & Bullwinkle,"Action,Adventure,Animation,Comedy,Family"
The Secret Life of Pets,"Animation,Family"
The League of Extraordinary Gentlemen,"Fantasy,Action,Thriller,Science Fiction"
Despicable Me 2,"Animation,Comedy,Family"
Independence Day,"Action,Adventure,Science Fiction"
The Lost World: Jurassic Park,"Adventure,Action,Science Fiction"
Madagascar,"Family,Animation"
Children of Men,"Drama,Action,Thriller,Science Fiction"
X-Men,"Adventure,Action,Science Fiction"
Wanted,"Action,Thriller,Crime"
The Rock,"Action,Adventure,Thriller"
Ice Age: The Meltdown,"Animation,Family,Comedy,Adventure"
50 First Dates,"Comedy,Romance"
Hairspray,"Family,Comedy,Music,Romance"
Exorcist: The Beginning,"Horror,Mystery,Thriller"
Inspector Gadget,"Action,Adventure,Comedy,Family"
Now You See Me,"Thriller,Crime"
Grown Ups,"C,o,m,e,d,y"
The Terminal,"Comedy,Drama"
Hotel for Dogs,"Comedy,Family"
Vertical Limit,"Action,Adventure,Thriller"
Charlie Wilson's War,"Comedy,Drama,History"
Shark Tale,"Animation,Action,Comedy,Family"
Dreamgirls,"D,r,a,m,a"
Be Cool,"Comedy,Crime"
Munich,"Drama,Action,History,Thriller"
Tears of the Sun,"Action,Drama,War"
Killers,"Action,Comedy,Thriller,Romance"
The Man from U.N.C.L.E.,"Comedy,Action,Adventure"
Spanglish,"C,o,m,e,d,y"
